datetime,timestamp,price,coin_id,vs_currency,market_cap,volume
2024-11-07 19:00:00,1731024000000,0.5543554525216197,ripple,usd,31525433833.759197,2234023598.9642086
2024-11-08 19:00:00,1731110400000,0.5540941347726905,ripple,usd,31512175151.99012,1737713572.24308
2024-11-09 19:00:00,1731196800000,0.5574298820177034,ripple,usd,31836113890.61354,1440484763.4288023
2024-11-10 19:00:00,1731283200000,0.5894389337521334,ripple,usd,33489525846.208927,4261955471.851764
2024-11-11 19:00:00,1731369600000,0.6193846945256621,ripple,usd,35253524705.02781,4422503003.126635
2024-11-12 19:00:00,1731456000000,0.7125696384831737,ripple,usd,40525483376.80065,12912751557.030237
2024-11-13 19:00:00,1731542400000,0.6911785818007724,ripple,usd,39323944238.49297,7120857884.644116
2024-11-14 19:00:00,1731628800000,0.7740480569596668,ripple,usd,43890734442.8388,10551122422.101799
2024-11-15 19:00:00,1731715200000,0.8907551084456163,ripple,usd,50684897337.31935,13116899767.153698
2024-11-16 19:00:00,1731801600000,1.1228963632747573,ripple,usd,63977542700.94049,25751173599.94672
2024-11-17 19:00:00,1731888000000,1.0602237280952598,ripple,usd,60359853822.81238,13225025169.216898
2024-11-18 19:00:00,1731974400000,1.1193660942144246,ripple,usd,63688503912.77327,10836262760.734638
2024-11-19 19:00:00,1732060800000,1.1012126123074732,ripple,usd,62700374445.7609,5476363653.953676
2024-11-20 19:00:00,1732147200000,1.107063129231089,ripple,usd,63050379292.97722,7141998955.816309
2024-11-21 19:00:00,1732233600000,1.2323909552423495,ripple,usd,69932142127.89014,11144862558.116425
2024-11-22 19:00:00,1732320000000,1.4608507832127549,ripple,usd,83112386522.4217,17433244692.12234
2024-11-23 19:00:00,1732406400000,1.4647330527827664,ripple,usd,83300744233.09833,17125117613.056425
2024-11-24 19:00:00,1732492800000,1.4316792853395408,ripple,usd,81614292718.7067,13367222473.504513
2024-11-25 19:00:00,1732579200000,1.413864313999175,ripple,usd,80506265953.6803,12629382786.491205
2024-11-26 19:00:00,1732665600000,1.3995450660087485,ripple,usd,79759951140.23747,10442232771.880827
2024-11-27 19:00:00,1732752000000,1.4723732146032762,ripple,usd,83883091379.35777,8681413551.471949
2024-11-28 19:00:00,1732838400000,1.5321753824792639,ripple,usd,87107084090.89493,6394089240.385964
2024-11-29 19:00:00,1732924800000,1.8089606822663937,ripple,usd,103191548907.76518,14120989557.306025
2024-11-30 19:00:00,1733011200000,1.9394127481300492,ripple,usd,110604358349.34161,18118226774.28636
2024-12-01 19:00:00,1733097600000,2.286339588570724,ripple,usd,130208395250.7976,18435365983.17054
2024-12-02 19:00:00,1733184000000,2.7088474745217135,ripple,usd,154571837988.4362,53820003124.51403
2024-12-03 19:00:00,1733270400000,2.5319240970814882,ripple,usd,144192803084.12503,37957094663.228096
2024-12-04 19:00:00,1733356800000,2.3476333135494314,ripple,usd,133851646266.63329,24079777836.582573
2024-12-05 19:00:00,1733443200000,2.254523485462072,ripple,usd,128679678709.415,22923661364.318054
2024-12-06 19:00:00,1733529600000,2.4172260514832065,ripple,usd,137876201991.56064,12689093602.056667
2024-12-07 19:00:00,1733616000000,2.5927269695998327,ripple,usd,148089387443.7888,13898192078.521193
2024-12-08 19:00:00,1733702400000,2.6181421664576834,ripple,usd,149556382944.37164,10399952121.56792
2024-12-09 19:00:00,1733788800000,2.2158470487122726,ripple,usd,126541301099.97853,20516080397.568897
2024-12-10 19:00:00,1733875200000,2.353484807585262,ripple,usd,134366804425.19778,29173861101.339516
2024-12-11 19:00:00,1733961600000,2.4008764282936887,ripple,usd,137137516260.63844,15899075206.770046
2024-12-12 19:00:00,1734048000000,2.342883102571944,ripple,usd,134039705285.1272,11764450479.740368
2024-12-13 19:00:00,1734134400000,2.420254114567228,ripple,usd,138341252309.82007,10210708750.872633
2024-12-14 19:00:00,1734220800000,2.3977637797048517,ripple,usd,137201303559.24551,8261437423.651819
2024-12-15 19:00:00,1734307200000,2.4558394900030756,ripple,usd,140694946111.10138,6560100595.864213
2024-12-16 19:00:00,1734393600000,2.4936338652184777,ripple,usd,142688879208.51086,13981664984.767004
2024-12-17 19:00:00,1734480000000,2.5561912510090092,ripple,usd,146207554966.0596,14678437514.774538
2024-12-18 19:00:00,1734566400000,2.2976668809594236,ripple,usd,131273275335.39302,19736815651.813995
2024-12-19 19:00:00,1734652800000,2.255279457563669,ripple,usd,129714340650.10556,21062431962.10383
2024-12-20 19:00:00,1734739200000,2.273996883525255,ripple,usd,129981103119.06401,24697654647.91057
2024-12-21 19:00:00,1734825600000,2.236596962769888,ripple,usd,127675851842.47113,13839484154.079449
2024-12-22 19:00:00,1734912000000,2.1983060900755347,ripple,usd,126002620224.90738,10514832661.665255
2024-12-23 19:00:00,1734998400000,2.2548840492056637,ripple,usd,129118625050.65549,9514499269.525232
2024-12-24 19:00:00,1735084800000,2.3273593261078007,ripple,usd,133008444957.98181,5432535821.124748
2024-12-25 19:00:00,1735171200000,2.2971897897775637,ripple,usd,131574173973.22885,3322151976.469681
2024-12-26 19:00:00,1735257600000,2.154071423410433,ripple,usd,123818838011.45384,4873873373.23111
2024-12-27 19:00:00,1735344000000,2.14158677198617,ripple,usd,122935306457.48709,4902016228.946082
2024-12-28 19:00:00,1735430400000,2.180869510101245,ripple,usd,125229822421.2995,2525595970.0449395
